iter	MultiClass
0	2.544057761
1	2.528759664
2	2.508942596
3	2.489202242
4	2.470024028
5	2.452930767
6	2.437024409
7	2.420473797
8	2.402159203
9	2.383516411
10	2.369684783
11	2.352541031
12	2.3366724
13	2.324139223
14	2.308614836
15	2.288476873
16	2.27336453
17	2.254782603
18	2.235808185
19	2.221115969
20	2.20366081
21	2.187990785
22	2.178185782
23	2.16225023
24	2.144260101
25	2.130475881
26	2.112308607
27	2.100038045
28	2.085135933
29	2.068680494
30	2.051827658
31	2.038813782
32	2.026303753
33	2.01049047
34	1.998982594
35	1.986416629
36	1.976699377
37	1.961418308
38	1.948888916
39	1.933005044
40	1.916828082
41	1.902646737
42	1.886923019
43	1.871546597
44	1.865158092
45	1.851609315
46	1.835947641
47	1.823858893
48	1.809041989
49	1.795685589
50	1.780701883
51	1.773542462
52	1.760694075
53	1.747243834
54	1.736396912
55	1.72649034
56	1.713033859
57	1.699529215
58	1.688761684
59	1.680636207
60	1.666663634
61	1.654090479
62	1.6407664
63	1.632981509
64	1.622221497
65	1.609740616
66	1.600750334
67	1.591484787
68	1.580803504
69	1.568708766
70	1.555974164
71	1.54349037
72	1.534818081
73	1.52433333
74	1.511548205
75	1.497904933
76	1.485959811
77	1.480687453
78	1.470258869
79	1.460216656
80	1.448633646
81	1.438175347
82	1.428308314
83	1.418336895
84	1.408157797
85	1.396066901
86	1.384948551
87	1.375575717
88	1.368498476
89	1.357040077
90	1.346116424
91	1.336149803
92	1.326890557
93	1.317545465
94	1.309300368
95	1.29951916
96	1.292151988
97	1.28456727
98	1.275791743
99	1.265682536
100	1.258017203
101	1.24720998
102	1.237811764
103	1.228436296
104	1.219444381
105	1.209140931
106	1.199748279
107	1.191798826
108	1.183471961
109	1.171645563
110	1.159671711
111	1.151990462
112	1.142730785
113	1.133366979
114	1.130628511
115	1.121532013
116	1.114239862
117	1.103447891
118	1.094118058
119	1.086655124
120	1.080036119
121	1.069596312
122	1.05989114
123	1.051854
124	1.042350864
125	1.034311062
126	1.027037639
127	1.022013643
128	1.016529861
129	1.011941671
130	1.003786771
131	0.9975466971
132	0.9899574775
133	0.9831806724
134	0.9753637073
135	0.9694572687
136	0.9610876671
137	0.9553196191
138	0.9469713161
139	0.9385426006
140	0.9316234906
141	0.9242855247
142	0.9168371127
143	0.9109706991
144	0.9035727035
145	0.898096614
146	0.8921028836
147	0.8848997281
148	0.8810750898
149	0.8732808165
150	0.8659220907
151	0.8591954436
152	0.8539860632
153	0.8466815383
154	0.8396626749
155	0.8337614405
156	0.8288981518
157	0.8210196083
158	0.8151962166
159	0.8081921322
160	0.8031501679
161	0.7998331195
162	0.7943476959
163	0.7884947671
164	0.7826373874
165	0.7769029214
166	0.7709610592
167	0.7646273031
168	0.7599900809
169	0.7542024944
170	0.7497158188
171	0.7457169232
172	0.7398322155
173	0.7347150262
174	0.7296923848
175	0.7244075401
176	0.7185771039
177	0.712813191
178	0.7090974009
179	0.7036341148
180	0.6986073891
181	0.6946039288
182	0.6894833859
183	0.6863246376
184	0.6807886023
185	0.6751663064
186	0.6698200998
187	0.6643763635
188	0.6599480264
189	0.6545825904
190	0.6502122791
191	0.6442394607
192	0.6400695964
193	0.6353010053
194	0.6312000758
195	0.6280373454
196	0.6238532423
197	0.6207924661
198	0.6182309068
199	0.615126468
200	0.6114509224
201	0.6077269479
202	0.6039138874
203	0.6007108654
204	0.5969442418
205	0.593631146
206	0.5888666011
207	0.5851805117
208	0.5810434286
209	0.577796625
210	0.5737389627
211	0.5714587323
212	0.5669552609
213	0.5634973449
214	0.5605771804
215	0.5566079217
216	0.5521487364
217	0.5489292039
218	0.5450554336
219	0.5411471793
220	0.5381523864
221	0.5350019404
222	0.5312816537
223	0.5270107154
224	0.5236649529
225	0.5200472217
226	0.5168127605
227	0.5134514878
228	0.5111666191
229	0.5090521092
230	0.5059594615
231	0.5031836677
232	0.4999765729
233	0.4967188615
234	0.4930763345
235	0.4895594727
236	0.4864213926
237	0.4832088937
238	0.4804213934
239	0.4773556631
240	0.4743002589
241	0.4712027157
242	0.4686712846
243	0.4665810897
244	0.463850395
245	0.4613463702
246	0.4583904597
247	0.4552476501
248	0.451524204
249	0.4493175726
250	0.4460274443
251	0.4429371516
252	0.4401803131
253	0.4375351971
254	0.4361770037
255	0.4333877448
256	0.4304336059
257	0.4282626692
258	0.425557073
259	0.4229297805
260	0.4206421021
261	0.4187629875
262	0.4161218665
263	0.4135434049
264	0.4111375911
265	0.4083396938
266	0.4063201056
267	0.4038634057
268	0.4009651119
269	0.3984352515
270	0.396576149
271	0.3946426316
272	0.3925258716
273	0.3912334801
274	0.389388389
275	0.3870853073
