iter	Passed	Remaining
399	35146	52719
400	35215	52603
401	35292	52499
402	35364	52389
403	35436	52277
404	35510	52169
405	35583	52060
406	35654	51948
407	35726	51838
408	35797	51726
409	35866	51612
410	35937	51501
411	36009	51391
412	36078	51278
413	36149	51167
414	36223	51062
415	36294	50951
416	36365	50842
417	36438	50735
418	36508	50623
419	36579	50514
420	36654	50410
421	36744	50327
422	36826	50234
423	36903	50132
424	36974	50024
425	37045	49915
426	37118	49810
427	37188	49700
428	37262	49596
429	37336	49492
430	37405	49382
431	37478	49276
432	37553	49174
433	37621	49064
434	37691	48955
435	37765	48852
436	37836	48745
437	37904	48635
438	37979	48534
439	38049	48426
440	38121	48321
441	38193	48217
442	38267	48115
443	38338	48009
444	38410	47904
445	38480	47798
446	38551	47693
447	38624	47591
448	38706	47499
449	38780	47398
450	38853	47295
451	38923	47190
452	38994	47085
453	39066	46983
454	39137	46878
455	39207	46774
456	39282	46674
457	39353	46571
458	39425	46468
459	39499	46368
460	39581	46279
461	39663	46188
462	39740	46091
463	39811	45988
464	39881	45885
465	39957	45788
466	40028	45685
467	40101	45585
468	40175	45486
469	40250	45388
470	40324	45289
471	40398	45191
472	40468	45088
473	40541	44989
474	40616	44891
475	40689	44792
476	40772	44704
477	40865	44627
478	40941	44531
479	41016	44434
480	41088	44334
481	41159	44233
482	41241	44144
483	41321	44053
484	41401	43962
485	41479	43869
486	41554	43772
487	41625	43673
488	41697	43573
489	41772	43477
490	41850	43384
491	41931	43295
492	42016	43209
493	42104	43127
494	42217	43070
495	42296	42978
496	42373	42885
497	42453	42794
498	42531	42701
499	42603	42603
500	42676	42506
501	42760	42419
502	42841	42330
503	42920	42239
504	42995	42143
505	43066	42045
506	43139	41948
507	43215	41854
508	43293	41762
509	43374	41673
510	43454	41583
511	43526	41486
512	43600	41391
513	43684	41304
514	43759	41210
515	43834	41116
516	43907	41019
517	43980	40924
518	44052	40826
519	44124	40729
520	44197	40634
521	44269	40537
522	44355	40454
523	44436	40366
524	44522	40282
525	44610	40200
526	44694	40114
527	44767	40019
528	44851	39934
529	44946	39858
530	45048	39788
531	45136	39706
532	45238	39636
533	45354	39579
534	45467	39518
535	45562	39442
536	45676	39382
537	45794	39325
538	45899	39257
539	45986	39173
540	46073	39090
541	46145	38994
542	46225	38904
543	46301	38811
544	46375	38716
545	46450	38623
546	46523	38528
547	46601	38437
548	46677	38345
549	46774	38270
550	46874	38197
551	46962	38114
552	47050	38032
553	47129	37942
554	47208	37852
555	47290	37764
556	47382	37684
557	47469	37601
558	47555	37516
559	47629	37422
560	47699	37326
561	47782	37240
562	47865	37153
563	47943	37062
564	48019	36970
565	48100	36882
566	48179	36792
567	48289	36727
568	48376	36643
569	48462	36559
570	48548	36475
571	48642	36396
572	48738	36320
573	48846	36251
574	48937	36171
575	49027	36089
576	49126	36014
577	49210	35928
578	49289	35839
579	49373	35753
580	49472	35678
581	49574	35605
582	49700	35549
583	49793	35469
584	49887	35390
585	49966	35300
586	50059	35220
587	50151	35139
588	50236	35054
